val_image,train_image,similarity
2e185a4e-b22c-4018-a7e2-db3ded5035a9.jpg_0.jpg,6a53c7d0-b247-4e60-bc59-2555dcc15b99.jpg_0.jpg,0.9682
f9cd37b5-93bd-4f37-b673-52a8318c60ab.jpg_0.jpg,40886e4f-5488-4915-9499-cc8f14e9a05a.jpg_0.jpg,0.9677
3b56cf3c-afbb-4560-a9c6-9e61a63311d8.jpg_1.jpg,dbbe9c5f-026e-413f-8ac0-4bcbb3bec8e9.jpg_1.jpg,0.9676
4ecf455d-d9b2-4c91-9d66-6d25003767d1.jpg_0.jpg,839b568e-6026-41bb-ae8e-11cb0a1e7780.jpg_0.jpg,0.9674
c016cbc1-5e26-46a9-9027-7fa3ab43c791.jpg_0.jpg,4a93d976-9172-41cd-9afd-82ca609b84f0.jpg_0.jpg,0.9674
fb79579e-ab75-4f7b-ac7c-e926d02c3703.jpg_0.jpg,194e8932-2db4-4d6a-a783-0f9928370731.jpg_0.jpg,0.9671
e8fe965b-3f6d-42a3-8ee1-f8dfc47e1ccc.jpg_1.jpg,c8818527-9b9c-46dc-a413-6e510ee72caa.jpg_1.jpg,0.9671
7672600d-ece8-4456-aa5f-e82892a39b9c.jpg_0.jpg,ed9cde74-6242-423a-8575-ddc6c75485d9.jpg_0.jpg,0.9670
c0a16e90-1f99-4204-b249-78280fcfe903.jpg_0.jpg,0d2215d3-45fe-47b0-b153-b540c66af759.jpg_0.jpg,0.9669
9aaaaecc-193c-4f9a-88c1-b315ebb6f565.jpg_2.jpg,76b259ba-913e-4770-a75b-fda6904af788.jpg_0.jpg,0.9665
21e02796-9878-4e07-a0ea-0eba1d7e5eab.jpg_0.jpg,9cbec838-ea6e-4f0f-915b-1ee64afe4db1.jpg_0.jpg,0.9663
c0a16e90-1f99-4204-b249-78280fcfe903.jpg_0.jpg,53f543c8-67c9-4721-baea-4b39a1d45fb7.jpg_0.jpg,0.9663
a21c4e04-eab1-42e1-81b6-a7d7c52849e4.jpg_0.jpg,086f805c-3610-4695-99b8-bf49f1cfed91.jpg_0.jpg,0.9661
29caca8e-90fc-4b70-b80e-9dd8fc70cb0a.jpg_1.jpg,f3d54035-7823-4212-9e28-60fd51f4b50a.jpg_0.jpg,0.9658
2e185a4e-b22c-4018-a7e2-db3ded5035a9.jpg_0.jpg,559cd5ac-7b83-41b8-b973-48356eb59d00.jpg_0.jpg,0.9657
fb79579e-ab75-4f7b-ac7c-e926d02c3703.jpg_0.jpg,60f1c381-9ad6-43cc-93cf-05cf0fe322eb.jpg_0.jpg,0.9655
301ca78f-eac9-4333-910a-03a7fbb5aeed.jpg_0.jpg,f53ea5a2-5c05-4c38-82f9-effdba918774.jpg_0.jpg,0.9654
0e204ff2-68bc-425f-a4a8-5eeeb6c9eb8a.jpg_1.jpg,cc31ed8b-1252-4d2e-a736-462e1c8b71ee.jpg_0.jpg,0.9646
46582590-0272-4b18-a50f-b31f32798d67.jpg_0.jpg,1093c2db-32e6-4e11-aac0-b222a340946f.jpg_1.jpg,0.9641
91a8489b-542d-4532-a068-bea52ee43871.jpg_0.jpg,4597575b-a772-4e1f-b3f4-fa79b2809f48.jpg_0.jpg,0.9640
21e02796-9878-4e07-a0ea-0eba1d7e5eab.jpg_0.jpg,5890bb24-62e4-4be6-bbc0-8fcc709d56ee.jpg_0.jpg,0.9639
14f3ab2b-7400-4d37-ab1d-58f19a5c32ff.jpg_0.jpg,891b46a5-3960-47d5-b13f-bc7f83f70d28.jpg_0.jpg,0.9638
db2d4de9-653b-417a-84c1-8e589c9d6847.jpg_0.jpg,f597ea15-6edf-4993-8352-087150eaf81a.jpg_0.jpg,0.9636
19d77dd5-8c15-4471-b924-bb5620e0a2b6.jpg_0.jpg,4597575b-a772-4e1f-b3f4-fa79b2809f48.jpg_0.jpg,0.9636
3c0c1409-f10b-425b-a0bb-ca24dda96ae5.jpg_0.jpg,35bf24ec-29e8-4901-bea5-b159eafb4ef5.jpg_0.jpg,0.9634
d179741c-0d88-4dc9-8051-6dc01361aa51.jpg_4.jpg,392bd203-356f-4b23-838d-1fa690db5736.jpg_0.jpg,0.9632
78b6390e-43e2-462c-949c-c6d9629d7d35.jpg_0.jpg,e1071aec-66ab-48c5-8943-59ce1e541d14.jpg_0.jpg,0.9629
19bc3105-177d-48d8-ae7c-0d18dd889dc1.jpg_0.jpg,f0ed1da3-c9a3-47cd-980b-b91355594e19.jpg_0.jpg,0.9627
