base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
73f706f4-9c58-4f31-babd-c21b014e43a4_0,73f706f4-9c58-4f31-babd-c21b014e43a4.jpg_0.jpg,400,318,0.99726,0.97079,6.08,⚠️  MILD,mild
7406adb9-c27b-4633-b01b-90279984205d_0,7406adb9-c27b-4633-b01b-90279984205d_0.jpg,512,358,0.99532,0.95768,10.19,⚠️  MILD,mild
74086d0d-c4f5-41f8-a306-0a96441bda17_0,74086d0d-c4f5-41f8-a306-0a96441bda17.jpg_0.jpg,512,402,0.99701,0.95622,6.33,⚠️  MILD,mild
7424ea1b-52ff-43f1-9b0b-d93f9c706dff_2,7424ea1b-52ff-43f1-9b0b-d93f9c706dff.jpg_2.jpg,511,400,0.99814,0.97867,6.15,⚠️  MILD,mild
742beeeb-92d7-4593-a896-3787a9332999_0,742beeeb-92d7-4593-a896-3787a9332999_0.jpg,512,345,0.99239,0.91832,8.94,🔶 MODERATE,moderate
74480188-8007-4edd-9c18-6e21750cec58_0,74480188-8007-4edd-9c18-6e21750cec58.jpg_0.jpg,512,339,0.9962,0.96029,9.0,⚠️  MILD,mild
746ab41d-c353-4f27-9e18-5e4adde54bb9_0,746ab41d-c353-4f27-9e18-5e4adde54bb9_0.jpg,512,384,0.99326,0.93154,9.32,⚠️  MILD,mild
746eaeb4-ce09-4629-ba53-f6eda6f1510d_0,746eaeb4-ce09-4629-ba53-f6eda6f1510d.jpg_0.jpg,512,376,0.99612,0.95532,7.09,⚠️  MILD,mild
746fd141-5f41-4b28-8ce9-caecbacdf851_0,746fd141-5f41-4b28-8ce9-caecbacdf851.jpg_0.jpg,512,382,0.99488,0.95284,8.77,⚠️  MILD,mild
7472f67d-5cf4-415f-bd22-0ca412ab8a02_0,7472f67d-5cf4-415f-bd22-0ca412ab8a02_0.jpg,512,314,0.99146,0.90778,8.71,🔶 MODERATE,moderate
747e968c-3e61-40b2-9a31-6d110e1a6348_0,747e968c-3e61-40b2-9a31-6d110e1a6348.jpg_0.jpg,512,369,0.99511,0.94549,7.62,⚠️  MILD,mild
74869059-369a-46da-bb1d-054d114bf306_0,74869059-369a-46da-bb1d-054d114bf306.jpg_0.jpg,512,402,0.99668,0.96054,7.11,⚠️  MILD,mild
7497e13a-c652-481d-91d4-936284ca22e5_0,7497e13a-c652-481d-91d4-936284ca22e5_0.jpg,512,339,0.98859,0.8878,9.66,🔶 MODERATE,moderate
74b9269a-0bb6-440d-b32d-538d02a64e3f_3,74b9269a-0bb6-440d-b32d-538d02a64e3f_3.jpg,512,443,0.98655,0.92658,17.55,⚠️  MILD,mild
74daa27c-7f1f-4ea4-80cf-7d75385f4ac5_0,74daa27c-7f1f-4ea4-80cf-7d75385f4ac5.jpg_0.jpg,512,334,0.99055,0.93921,14.01,⚠️  MILD,mild
74f3515e-e2e8-4c8c-ae81-8f442c9ffa96_0,74f3515e-e2e8-4c8c-ae81-8f442c9ffa96_0.jpg,512,338,0.99464,0.94168,8.56,⚠️  MILD,mild
